date,return_pct,balance
2026-05-08,0.259,74259
2026-05-07,-0.258,74067
2026-05-06,0.423,74259
2026-05-05,0.178,73946
2026-05-04,-0.341,73815
2026-05-01,0.138,74067
2026-04-30,0.150,73965
2026-04-29,-0.448,73854
2026-04-28,-0.027,74186
2026-04-27,-0.162,74206
2026-04-24,0.176,74327
2026-04-23,-0.176,74196
2026-04-22,0.108,74327
2026-04-21,-0.311,74247
2026-04-20,-0.068,74478
2026-04-17,0.393,74528
2026-04-16,-0.149,74237
2026-04-15,-0.135,74347
2026-04-14,0.244,74448
2026-04-13,0.217,74267
2026-04-10,-0.149,74106
2026-04-09,0.041,74216
2026-04-08,0.190,74186
2026-04-07,0.150,74045
2026-04-06,-0.149,73935
2026-04-02,0.218,74045
2026-04-01,0.041,73884
2026-03-31,0.218,73854
2026-03-30,0.506,73694
2026-03-27,0.000,73323
2026-03-26,-0.585,73323
2026-03-25,0.382,73754
2026-03-24,-0.259,73473
2026-03-23,0.383,73664
2026-03-20,-0.800,73383
2026-03-19,0.109,73975
2026-03-18,-0.406,73894
2026-03-17,0.203,74195
2026-03-16,0.381,74045
2026-03-13,-0.095,73764
2026-03-12,-0.365,73834
2026-03-11,-0.445,74105
2026-03-10,-0.309,74436
2026-03-09,0.283,74667
2026-03-06,-0.135,74456
2026-03-05,-0.228,74556
2026-03-04,-0.067,74727
2026-03-03,-0.107,74777
2026-03-02,-0.402,74857
2026-02-27,0.200,75159
2026-02-26,0.147,75009
2026-02-25,-0.027,74899
2026-02-24,-0.053,74919
2026-02-23,0.214,74959
2026-02-20,-0.013,74799
2026-02-19,0.040,74809
2026-02-18,-0.107,74779
2026-02-17,-0.013,74859
2026-02-13,0.295,74869
2026-02-12,0.457,74649
2026-02-11,-0.201,74309
2026-02-10,0.296,74459
2026-02-09,0.027,74239
2026-02-06,0.013,74219
2026-02-05,0.433,74209
2026-02-04,-0.041,73889
2026-02-03,0.027,73919
2026-02-02,-0.100,73899
2026-01-30,-0.040,73974
2026-01-29,0.013,74004
2026-01-28,-0.040,73994
2026-01-27,-0.081,74024
2026-01-26,0.121,74083
2026-01-23,0.108,73994
2026-01-22,0.040,73914
2026-01-21,0.284,73884
2026-01-20,-0.364,73675
2026-01-16,-0.161,73944
2026-01-15,-0.148,74063
2026-01-14,0.202,74173
2026-01-13,0.081,74024
2026-01-12,-0.094,73964
2026-01-09,0.216,74034
2026-01-08,-0.175,73874
2026-01-07,0.108,74004
2026-01-06,0.000,73924
2026-01-05,0.189,73924
2026-01-02,-0.041,73784
2025-12-31,-0.269,73814
2025-12-30,-0.040,74014
2025-12-29,0.148,74043
2025-12-26,0.000,73934
2025-12-24,0.243,73934
2025-12-23,-0.014,73754
2025-12-22,-0.027,73764
2025-12-19,-0.148,73784
2025-12-18,0.211,73894
2025-12-17,-0.027,73738
2025-12-16,0.189,73758
2025-12-15,0.122,73619
2025-12-12,-0.310,73530
2025-12-11,0.000,73758
2025-12-10,0.297,73758
2025-12-09,-0.067,73540
2025-12-08,-0.148,73589
2025-12-05,-0.121,73699
2025-12-04,-0.188,73788
2025-12-03,0.148,73927
2025-12-02,0.094,73818
2025-12-01,-0.390,73748
2025-11-28,-0.160,74037
2025-11-26,0.107,74156
2025-11-25,0.228,74076
2025-11-24,0.174,73908
2025-11-21,0.242,73779
2025-11-20,0.148,73601
2025-11-19,-0.040,73492
2025-11-18,0.081,73522
2025-11-17,0.054,73463
2025-11-14,-0.148,73423
2025-11-13,-0.295,73532
2025-11-12,-0.040,73750
2025-11-11,0.283,73779
2025-11-10,-0.027,73572
2025-11-07,-0.054,73591
2025-11-06,0.391,73631
2025-11-05,-0.283,73344
2025-11-04,0.054,73552
2025-11-03,-0.116,73512
2025-10-31,-0.027,73597
2025-10-30,-0.174,73617
2025-10-29,-0.493,73745
2025-10-28,0.053,74111
2025-10-27,0.053,74071
2025-10-24,0.133,74032
2025-10-23,-0.200,73933
2025-10-22,0.000,74081
2025-10-21,0.120,74081
2025-10-20,0.134,73992
2025-10-17,-0.133,73893
2025-10-16,0.375,73992
2025-10-15,-0.067,73716
2025-10-14,0.147,73765
2025-10-13,0.161,73657
2025-10-10,0.391,73538
2025-10-09,-0.067,73252
2025-10-08,0.000,73301
2025-10-07,0.189,73301
2025-10-06,-0.229,73163
2025-10-03,-0.121,73331
2025-10-02,0.108,73420
2025-10-01,0.252,73341
2025-09-30,-0.040,73157
2025-09-29,0.256,73186
2025-09-26,0.000,72999
2025-09-25,-0.108,72999
2025-09-24,-0.202,73078
2025-09-23,0.202,73225
2025-09-22,-0.188,73078
2025-09-19,0.040,73216
2025-09-18,-0.255,73186
2025-09-17,-0.174,73373
2025-09-16,0.013,73501
2025-09-15,0.188,73491
2025-09-12,-0.121,73353
2025-09-11,0.215,73442
2025-09-10,0.175,73284
2025-09-09,-0.188,73157
2025-09-08,0.323,73294
2025-09-05,0.473,73058
2025-09-04,0.380,72714
2025-09-03,0.327,72438
2025-09-02,-0.213,72202
2025-08-29,-0.122,72357
2025-08-28,0.122,72445
2025-08-27,0.095,72357
2025-08-26,0.122,72288
2025-08-25,-0.136,72200
2025-08-22,0.504,72298
2025-08-21,-0.245,71935
2025-08-20,0.068,72111
2025-08-19,0.191,72062
2025-08-18,-0.109,71925
2025-08-15,-0.136,72004
2025-08-14,-0.285,72102
2025-08-13,0.367,72308
2025-08-12,0.014,72043
2025-08-11,0.068,72033
2025-08-08,-0.217,71984
2025-08-07,-0.041,72141
2025-08-06,-0.081,72170
2025-08-05,0.041,72229
2025-08-04,0.068,72200
2025-08-01,0.863,72151
2025-07-31,0.014,71533
2025-07-30,-0.259,71523
2025-07-29,0.521,71709
2025-07-28,-0.164,71338
2025-07-25,0.247,71455
2025-07-24,-0.123,71279
2025-07-23,-0.205,71367
2025-07-22,0.164,71514
2025-07-21,0.288,71396
2025-07-18,0.165,71191
2025-07-17,0.028,71074
2025-07-16,0.193,71054
2025-07-15,-0.302,70918
2025-07-14,-0.014,71133
2025-07-11,-0.410,71142
2025-07-10,0.014,71435
2025-07-09,0.398,71426
2025-07-08,-0.055,71142
2025-07-07,-0.328,71181
2025-07-03,-0.246,71416
2025-07-02,-0.109,71592
2025-07-01,-0.074,71670
2025-06-30,0.395,71723
2025-06-27,-0.231,71441
2025-06-26,0.286,71606
2025-06-25,0.027,71402
2025-06-24,0.301,71382
2025-06-23,0.247,71168
2025-06-20,0.069,70993
2025-06-18,0.055,70944
2025-06-17,0.317,70905
2025-06-16,-0.193,70681
2025-06-13,-0.356,70817
2025-06-12,0.371,71071
2025-06-11,0.317,70808
2025-06-10,0.194,70584
2025-06-09,0.159,70447
2025-06-06,-0.544,70335
2025-06-05,-0.192,70720
2025-06-04,0.622,70856
2025-06-03,-0.111,70418
2025-06-02,-0.219,70496
2025-05-30,0.193,70651
2025-05-29,0.359,70515
2025-05-28,-0.221,70263
2025-05-27,0.471,70418
2025-05-23,0.153,70088
2025-05-22,0.278,69981
2025-05-21,-0.622,69787
2025-05-20,-0.179,70224
2025-05-19,-0.028,70350
2025-05-16,0.069,70369
2025-05-15,0.541,70321
2025-05-14,-0.346,69942
2025-05-13,-0.041,70185
2025-05-12,-0.344,70214
2025-05-09,0.083,70457
2025-05-08,-0.535,70398
2025-05-07,0.192,70777
2025-05-06,0.220,70641
2025-05-05,-0.138,70486
2025-05-02,-0.493,70583
2025-05-01,-0.277,70932
2025-04-30,-0.068,71129
2025-04-29,0.259,71178
2025-04-28,0.246,70994
2025-04-25,0.329,70820
2025-04-24,0.565,70588
2025-04-23,0.207,70191
2025-04-22,0.180,70046
2025-04-21,-0.551,69920
2025-04-17,-0.220,70307
2025-04-16,0.275,70462
2025-04-15,0.249,70268
2025-04-14,0.569,70094
2025-04-11,-0.111,69697
2025-04-10,-0.798,69775
2025-04-09,0.234,70336
2025-04-08,-0.576,70171
2025-04-07,-1.206,70578
2025-04-04,0.081,71439
2025-04-03,0.518,71381
2025-04-02,-0.082,71013
2025-04-01,0.314,71071
2025-03-31,0.177,70849
2025-03-28,0.576,70724
2025-03-27,-0.041,70319
2025-03-26,-0.219,70348
2025-03-25,0.123,70502
2025-03-24,-0.436,70415
2025-03-21,-0.082,70724
2025-03-20,0.041,70782
2025-03-19,0.301,70753
2025-03-18,0.110,70541
2025-03-17,0.137,70463
2025-03-14,-0.246,70367
2025-03-13,0.302,70541
2025-03-12,-0.205,70328
2025-03-11,-0.382,70473
2025-03-10,0.466,70743
2025-03-07,-0.109,70415
2025-03-06,-0.082,70492
2025-03-05,-0.354,70550
2025-03-04,-0.285,70801
2025-03-03,0.230,71004
2025-02-28,0.423,70841
2025-02-27,-0.123,70542
2025-02-26,0.150,70629
2025-02-25,0.631,70523
2025-02-24,0.144,70081
2025-02-21,0.435,69980
2025-02-20,0.124,69677
2025-02-19,0.138,69590
2025-02-18,-0.372,69494
2025-02-14,0.318,69754
2025-02-13,0.598,69533
2025-02-12,-0.512,69119
2025-02-11,-0.166,69475
2025-02-10,0.028,69590
2025-02-07,-0.303,69571
2025-02-06,-0.110,69783
2025-02-05,0.512,69860
2025-02-04,0.139,69504
2025-02-03,0.090,69408
2025-01-31,-0.138,69345
2025-01-30,0.138,69441
2025-01-29,-0.055,69345
2025-01-28,-0.055,69384
2025-01-27,0.527,69422
2025-01-24,0.195,69058
2025-01-23,-0.153,68924
2025-01-22,-0.208,69029
2025-01-21,0.292,69173
2025-01-17,0.028,68972
2025-01-16,0.195,68952
2025-01-15,0.800,68818
2025-01-14,0.070,68272
2025-01-13,-0.098,68224
2025-01-10,-0.517,68291
2025-01-08,0.112,68646
2025-01-07,-0.348,68569
2025-01-06,-0.097,68809
2025-01-03,-0.125,68876
2025-01-02,0.042,68962
2024-12-31,-0.167,68933
2024-12-30,0.390,69048
2024-12-27,-0.209,68780
2024-12-26,0.070,68924
2024-12-24,0.144,68876
2024-12-23,-0.319,68777
2024-12-20,0.306,68997
2024-12-19,-0.277,68787
2024-12-18,-0.783,68978
2024-12-17,0.014,69522
2024-12-16,0.110,69513
2024-12-13,-0.397,69436
2024-12-12,-0.396,69713
2024-12-11,-0.218,69990
2024-12-10,-0.109,70143
2024-12-09,-0.298,70220
2024-12-06,0.272,70430
2024-12-05,0.014,70239
2024-12-04,0.341,70229
2024-12-03,-0.232,69990
2024-12-02,0.058,70153
2024-11-29,0.368,70112
2024-11-27,0.273,69855
2024-11-26,-0.177,69664
2024-11-25,0.923,69788
2024-11-22,0.041,69150
2024-11-21,-0.055,69121
2024-11-20,-0.110,69159
2024-11-19,0.179,69236
2024-11-18,0.097,69112
2024-11-15,0.028,69045
2024-11-14,-0.028,69026
2024-11-13,-0.041,69045
2024-11-12,-0.603,69074
2024-11-11,-0.192,69493
2024-11-08,0.192,69626
2024-11-07,0.746,69493
2024-11-06,-0.822,68978
2024-11-05,0.247,69550
2024-11-04,0.400,69379
2024-11-01,-0.387,69102
2024-10-31,-0.014,69370
2024-10-30,-0.096,69380
2024-10-29,0.082,69446
2024-10-28,-0.123,69389
2024-10-25,-0.205,69475
2024-10-24,0.164,69617
2024-10-23,-0.245,69503
2024-10-22,0.041,69674
2024-10-21,-0.677,69646
2024-10-18,0.054,70121
2024-10-17,-0.485,70083
2024-10-16,0.135,70424
2024-10-15,0.393,70330
2024-10-14,-0.068,70054
2024-10-11,0.014,70102
2024-10-10,-0.041,70092
2024-10-09,-0.270,70121
2024-10-08,0.149,70311
2024-10-07,-0.297,70206
2024-10-04,-0.656,70415
2024-10-03,-0.440,70880
2024-10-02,-0.186,71194
2024-10-01,0.294,71327
2024-09-30,-0.226,71118
2024-09-27,0.293,71279
2024-09-26,0.000,71070
2024-09-25,-0.372,71070
2024-09-24,0.120,71335
2024-09-23,-0.066,71250
2024-09-20,-0.013,71298
2024-09-19,0.000,71307
2024-09-18,-0.304,71307
2024-09-17,-0.132,71525
2024-09-16,0.265,71619
2024-09-13,0.213,71430
2024-09-12,-0.106,71279
2024-09-11,-0.053,71354
2024-09-10,0.333,71392
2024-09-09,0.133,71156
2024-09-06,0.120,71061
2024-09-05,0.241,70976
2024-09-04,0.443,70805
2024-09-03,0.424,70493
2024-08-30,-0.201,70195
2024-08-29,-0.147,70336
2024-08-28,-0.067,70440
2024-08-27,0.000,70488
2024-08-26,-0.107,70488
2024-08-23,0.443,70563
2024-08-22,-0.401,70252
2024-08-21,0.215,70535
2024-08-20,0.296,70384
2024-08-19,0.121,70176
2024-08-16,0.216,70091
2024-08-15,-0.417,69940
2024-08-14,0.189,70233
2024-08-13,0.378,70101
2024-08-12,0.176,69836
2024-08-09,0.353,69713
2024-08-08,-0.149,69468
2024-08-07,-0.244,69572
2024-08-06,-0.619,69742
2024-08-05,-0.094,70176
2024-08-02,1.142,70242
2024-08-01,0.373,69449
2024-07-31,0.547,69191
2024-07-30,0.123,68815
2024-07-29,0.123,68730
2024-07-26,0.399,68646
2024-07-25,0.221,68373
2024-07-24,-0.289,68222
