Date,Return
2000-01,2.81%
2000-02,-0.64%
2000-03,-1.73%
2000-04,-1.32%
2000-05,0.28%
2000-06,-1.71%
2000-07,-1.45%
2000-08,0.98%
2000-09,-3.11%
2000-10,1.88%
2000-11,6.89%
2000-12,8.99%
2001-01,0.89%
2001-02,0.25%
2001-03,5.49%
2001-04,-4.14%
2001-05,1.20%
2001-06,-1.05%
2001-07,-0.60%
2001-08,1.99%
2001-09,1.70%
2001-10,3.86%
2001-11,-7.51%
2001-12,2.69%
2002-01,-0.37%
2002-02,-2.00%
2002-03,0.32%
2002-04,-1.48%
2002-05,3.86%
2002-06,7.36%
2002-07,2.86%
2002-08,2.27%
2002-09,2.24%
2002-10,-3.20%
2002-11,-2.19%
2002-12,4.76%
2003-01,5.06%
2003-02,4.81%
2003-03,-5.41%
2003-04,1.76%
2003-05,5.55%
2003-06,-1.29%
2003-07,-1.15%
2003-08,2.27%
2003-09,-0.41%
2003-10,2.39%
2003-11,-0.07%
2003-12,3.44%
2004-01,1.11%
2004-02,4.19%
2004-03,-0.77%
2004-04,-3.77%
2004-05,-1.43%
2004-06,-2.27%
2004-07,-0.53%
2004-08,-1.14%
2004-09,0.50%
2004-10,3.04%
2004-11,3.96%
2004-12,0.57%
2005-01,-2.50%
2005-02,1.15%
2005-03,0.46%
2005-04,-1.87%
2005-05,1.59%
2005-06,2.07%
2005-07,-0.01%
2005-08,0.18%
2005-09,1.77%
2005-10,0.30%
2005-11,2.83%
2005-12,-1.02%
2006-01,1.04%
2006-02,-0.48%
2006-03,2.39%
2006-04,2.55%
2006-05,-1.39%
2006-06,-1.24%
2006-07,-1.88%
2006-08,0.07%
2006-09,-0.40%
2006-10,1.50%
2006-11,2.51%
2006-12,2.76%
2007-01,1.27%
2007-02,-1.62%
2007-03,-1.26%
2007-04,3.58%
2007-05,3.38%
2007-06,2.49%
2007-07,-2.46%
2007-08,-3.92%
2007-09,4.42%
2007-10,3.69%
2007-11,-0.71%
2007-12,0.99%
2008-01,1.82%
2008-02,4.74%
2008-03,-0.07%
2008-04,-1.83%
2008-05,1.89%
2008-06,2.44%
2008-07,-2.58%
2008-08,-1.67%
2008-09,0.47%
2008-10,5.13%
2008-11,2.21%
2008-12,1.80%
2009-01,0.31%
2009-02,0.29%
2009-03,-2.32%
2009-04,-1.83%
2009-05,1.45%
2009-06,-1.64%
2009-07,-0.20%
2009-08,1.02%
2009-09,2.31%
2009-10,-1.66%
2009-11,2.84%
2009-12,-3.11%
2010-01,-1.90%
2010-02,1.42%
2010-03,2.83%
2010-04,1.52%
2010-05,-1.28%
2010-06,-0.10%
2010-07,-0.33%
2010-08,3.62%
2010-09,1.42%
2010-10,2.81%
2010-11,-2.69%
2010-12,3.47%
2011-01,-1.32%
2011-02,1.31%
2011-03,-0.90%
2011-04,3.73%
2011-05,-4.35%
2011-06,-1.53%
2011-07,3.41%
2011-08,-1.27%
2011-09,0.88%
2011-10,-3.62%
2011-11,0.29%
2011-12,0.80%
2012-01,0.83%
2012-02,1.07%
2012-03,-1.88%
2012-04,0.21%
2012-05,3.18%
2012-06,-3.16%
2012-07,3.09%
2012-08,-1.03%
2012-09,-0.69%
2012-10,-2.87%
2012-11,0.01%
2012-12,0.18%
2013-01,1.60%
2013-02,0.23%
2013-03,1.46%
2013-04,1.54%
2013-05,-1.58%
2013-06,-1.37%
2013-07,-0.84%
2013-08,-1.61%
2013-09,-0.84%
2013-10,1.36%
2013-11,1.82%
2013-12,0.71%
2014-01,-2.20%
2014-02,0.71%
2014-03,-0.17%
2014-04,0.55%
2014-05,2.45%
2014-06,0.63%
2014-07,-0.83%
2014-08,4.10%
2014-09,2.07%
2014-10,1.79%
2014-11,5.75%
2014-12,1.71%
2015-01,4.45%
2015-02,-0.17%
2015-03,1.85%
2015-04,-3.03%
2015-05,-0.27%
2015-06,-4.09%
2015-07,3.24%
2015-08,-1.75%
2015-09,1.30%
2015-10,-1.05%
2015-11,2.79%
2015-12,-1.21%
2016-01,4.31%
2016-02,3.10%
2016-03,-2.86%
2016-04,-2.09%
2016-05,-1.91%
2016-06,4.67%
2016-07,1.38%
2016-08,-2.97%
2016-09,-1.04%
2016-10,-2.47%
2016-11,-1.67%
2016-12,0.73%
2017-01,-0.99%
2017-02,2.36%
2017-03,-0.86%
2017-04,-0.00%
2017-05,0.18%
2017-06,-3.30%
2017-07,0.90%
2017-08,2.24%
2017-09,-1.96%
2017-10,4.50%
2017-11,0.44%
2017-12,0.83%
2018-01,4.04%
2018-02,-6.21%
2018-03,-0.07%
2018-04,0.28%
2018-05,-2.39%
2018-06,0.69%
2018-07,-0.57%
2018-08,2.80%
2018-09,-0.51%
2018-10,-2.64%
2018-11,-0.95%
2018-12,1.57%
2019-01,-1.75%
2019-02,0.55%
2019-03,3.59%
2019-04,2.88%
2019-05,0.16%
2019-06,1.34%
2019-07,2.19%
2019-08,7.48%
2019-09,-1.53%
2019-10,-1.13%
2019-11,0.73%
2019-12,0.04%
2020-01,1.00%
2020-02,-2.11%
2020-03,1.30%
2020-04,2.22%
2020-05,-3.09%
2020-06,-1.87%
2020-07,3.56%
2020-08,-0.64%
2020-09,-3.01%
2020-10,-0.01%
2020-11,0.73%
2020-12,4.01%
2021-01,-0.12%
2021-02,4.44%
2021-03,2.92%
2021-04,2.25%
2021-05,2.89%
2021-06,-1.30%
2021-07,0.74%
2021-08,-2.64%
2021-09,-0.13%
2021-10,4.17%
2021-11,-2.37%
2021-12,0.31%
2022-01,0.40%
2022-02,3.11%
2022-03,7.07%
2022-04,10.59%
2022-05,-0.98%
2022-06,3.48%
2022-07,-3.58%
2022-08,2.72%
2022-09,5.77%
2022-10,0.97%
2022-11,-8.84%
2022-12,0.36%
2023-01,-3.23%
2023-02,0.75%
2023-03,-7.33%
2023-04,0.99%
2023-05,0.56%
2023-06,3.44%
2023-07,-0.36%
2023-08,0.33%
2023-09,4.63%
2023-10,-0.38%
2023-11,-5.21%
2023-12,-2.87%
2024-01,2.45%
2024-02,3.64%
2024-03,5.45%
2024-04,4.36%
2024-05,-0.97%
2024-06,2.28%
2024-07,-3.73%
2024-08,-3.08%
2024-09,1.18%
2024-10,-4.27%
2024-11,1.04%
2024-12,-0.76%
2025-01,1.19%
2025-02,-2.30%
2025-03,-1.63%
2025-04,0.00%
2025-05,-0.16%
2025-06,2.70%
2025-07,-0.47%
2025-08,1.33%
2025-09,5.79%
2025-10,3.88%
2025-11,1.90%
2025-12,1.09%
2026-01,4.03%
2026-02,7.81%
2026-03,-3.82%
2026-04,1.36%
2026-05,1.51%
