date,return_pct,balance
2026-05-08,0.486,1248432
2026-05-07,0.169,1242397
2026-05-06,3.036,1240305
2026-05-05,0.860,1203765
2026-05-04,-2.000,1193500
2026-05-01,-0.112,1217857
2026-04-30,1.499,1219219
2026-04-29,-1.065,1201213
2026-04-28,-1.855,1214144
2026-04-27,-0.774,1237088
2026-04-24,0.514,1246737
2026-04-23,-0.968,1240358
2026-04-22,1.326,1252481
2026-04-21,-2.830,1236089
2026-04-20,-0.860,1272094
2026-04-17,1.331,1283123
2026-04-16,-0.085,1266271
2026-04-15,-1.039,1267344
2026-04-14,2.237,1280645
2026-04-13,-0.403,1252630
2026-04-10,-0.177,1257703
2026-04-09,0.779,1259927
2026-04-08,0.631,1250182
2026-04-07,0.974,1242337
2026-04-06,-0.408,1230349
2026-04-02,-1.919,1235393
2026-04-01,1.752,1259568
2026-03-31,3.791,1237885
2026-03-30,-0.027,1192672
2026-03-27,3.511,1192998
2026-03-26,-3.758,1152533
2026-03-25,3.011,1197534
2026-03-24,0.024,1162536
2026-03-23,-2.258,1162258
2026-03-20,-3.054,1189106
2026-03-19,-4.120,1226568
2026-03-18,-3.162,1279273
2026-03-17,-0.250,1321046
2026-03-16,-0.087,1324361
2026-03-13,-1.292,1325520
2026-03-12,-1.964,1342871
2026-03-11,-0.337,1369771
2026-03-10,1.130,1374408
2026-03-09,-0.205,1359057
2026-03-06,1.585,1361854
2026-03-05,-1.200,1340607
2026-03-04,0.783,1356893
2026-03-03,-4.460,1346345
2026-03-02,1.294,1409190
2026-02-27,1.315,1391194
2026-02-26,0.859,1373141
2026-02-25,-0.249,1361444
2026-02-24,-1.384,1364844
2026-02-23,2.703,1384003
2026-02-20,1.973,1347576
2026-02-19,0.281,1321502
2026-02-18,2.251,1317801
2026-02-17,-3.115,1288795
2026-02-13,2.489,1330238
2026-02-12,-3.471,1297927
2026-02-11,1.133,1344601
2026-02-10,-0.990,1329542
2026-02-09,2.542,1342833
2026-02-06,3.075,1309546
2026-02-05,-2.662,1270481
2026-02-04,-0.069,1305221
2026-02-03,6.360,1306120
2026-02-02,-4.003,1228015
2026-01-30,-10.273,1279227
2026-01-29,0.273,1425682
2026-01-28,3.879,1421807
2026-01-27,2.455,1368716
2026-01-26,1.464,1335922
2026-01-23,1.376,1316640
2026-01-22,1.848,1298767
2026-01-21,1.458,1275204
2026-01-20,3.785,1256872
2026-01-16,-0.480,1211032
2026-01-15,-0.611,1216877
2026-01-14,1.024,1224360
2026-01-13,-0.141,1211952
2026-01-12,1.874,1213657
2026-01-09,0.726,1191333
2026-01-08,0.554,1182749
2026-01-07,-0.954,1176235
2026-01-06,1.083,1187569
2026-01-05,2.633,1174846
2026-01-02,0.499,1144707
2025-12-31,-0.645,1139027
2025-12-30,0.074,1146424
2025-12-29,-4.351,1145573
2025-12-26,1.169,1197687
2025-12-24,-0.412,1183845
2025-12-23,1.327,1188740
2025-12-22,2.310,1173174
2025-12-19,0.114,1146689
2025-12-18,-0.179,1145377
2025-12-17,0.860,1147428
2025-12-16,0.024,1137640
2025-12-15,0.093,1137363
2025-12-12,0.561,1136310
2025-12-11,1.079,1129971
2025-12-10,0.428,1117913
2025-12-09,0.515,1113155
2025-12-08,-0.262,1107448
2025-12-05,-0.177,1110361
2025-12-04,0.066,1112326
2025-12-03,-0.091,1111590
2025-12-02,-0.642,1112607
2025-12-01,0.484,1119800
2025-11-28,1.244,1114410
2025-11-26,0.801,1100717
2025-11-25,-0.030,1091966
2025-11-24,1.586,1092293
2025-11-21,-0.153,1075240
2025-11-20,-0.028,1076889
2025-11-19,0.165,1077188
2025-11-18,0.728,1075418
2025-11-17,-1.145,1067645
2025-11-14,-1.803,1080009
2025-11-13,-0.807,1099841
2025-11-12,1.613,1108786
2025-11-11,0.395,1091189
2025-11-10,2.736,1086892
2025-11-07,0.613,1057950
2025-11-06,-0.118,1051499
2025-11-05,1.158,1052746
2025-11-04,-1.750,1040694
2025-11-03,0.181,1059232
2025-10-31,-0.541,1057320
2025-10-30,1.966,1063076
2025-10-29,-0.377,1042581
2025-10-28,-0.715,1046528
2025-10-27,-2.782,1054065
2025-10-24,-0.334,1084232
2025-10-23,0.402,1087862
2025-10-22,0.012,1083509
2025-10-21,-6.425,1083376
2025-10-20,3.642,1157766
2025-10-17,-1.880,1117085
2025-10-16,2.340,1138490
2025-10-15,1.735,1112455
2025-10-14,0.716,1093484
2025-10-13,2.432,1085714
2025-10-10,1.011,1059940
2025-10-09,-1.844,1049327
2025-10-08,1.651,1069037
2025-10-07,0.518,1051677
2025-10-06,1.886,1046262
2025-10-03,0.805,1026893
2025-10-02,-0.347,1018694
2025-10-01,0.159,1022238
2025-09-30,0.856,1020614
2025-09-29,1.651,1011956
2025-09-26,0.579,995518
2025-09-25,0.418,989789
2025-09-24,-0.905,985667
2025-09-23,0.410,994666
2025-09-22,1.732,990603
2025-09-19,1.062,973735
2025-09-18,-0.399,963500
2025-09-17,-0.770,967360
2025-09-16,0.202,974866
2025-09-15,1.042,972898
2025-09-12,0.199,962865
2025-09-11,-0.148,960955
2025-09-10,0.361,962375
2025-09-09,-0.225,958915
2025-09-08,1.140,961081
2025-09-05,1.336,950245
2025-09-04,-0.440,937715
2025-09-03,0.785,941862
2025-09-02,2.366,934528
2025-08-29,0.967,912930
2025-08-28,0.743,904190
2025-08-27,0.203,897517
2025-08-26,0.728,895695
2025-08-25,-0.240,889223
2025-08-22,1.072,891361
2025-08-21,-0.345,881905
2025-08-20,1.014,884962
2025-08-19,-0.546,876080
2025-08-18,-0.155,880888
2025-08-15,0.060,882251
2025-08-14,-0.632,881720
2025-08-13,0.307,887331
2025-08-12,-0.089,884619
2025-08-11,-1.436,885409
2025-08-08,-0.021,898308
2025-08-07,0.845,898494
2025-08-06,-0.211,890962
2025-08-05,0.082,892842
2025-08-04,0.584,892110
2025-08-01,2.032,886931
2025-07-31,0.666,869272
2025-07-30,-1.726,863519
2025-07-29,0.277,878683
2025-07-28,-0.646,876259
2025-07-25,-0.923,881955
2025-07-24,-0.610,890175
2025-07-23,-1.239,895640
2025-07-22,0.950,906872
2025-07-21,1.539,898337
2025-07-18,0.262,884725
2025-07-17,-0.216,882416
2025-07-16,0.500,884324
2025-07-15,-0.414,879921
2025-07-14,-0.364,883579
2025-07-11,0.962,886806
2025-07-10,0.224,878359
2025-07-09,0.449,876394
2025-07-08,-1.043,872479
2025-07-07,0.076,881673
2025-07-03,-0.681,880999
2025-07-02,0.554,887037
2025-07-01,0.894,882147
2025-06-30,1.200,874332
2025-06-27,-1.811,863964
2025-06-26,-0.109,879897
2025-06-25,0.305,880858
2025-06-24,-1.570,878177
2025-06-23,0.308,892187
2025-06-20,-0.040,889448
2025-06-18,-0.537,889807
2025-06-17,0.053,894611
2025-06-16,-1.424,894138
2025-06-13,1.312,907057
2025-06-12,1.244,895314
2025-06-11,0.543,884317
2025-06-10,0.031,879542
2025-06-09,0.473,879270
2025-06-06,-1.340,875127
2025-06-05,-0.503,887013
2025-06-04,0.646,891501
2025-06-03,-0.884,885781
2025-06-02,2.660,893681
2025-05-30,-0.656,870527
2025-05-29,0.594,876277
2025-05-28,-0.225,871102
2025-05-27,-1.693,873066
2025-05-23,2.192,888105
2025-05-22,-0.885,869053
2025-05-21,0.739,876809
2025-05-20,1.864,870373
2025-05-19,1.290,854448
2025-05-16,-1.207,843569
2025-05-15,1.598,853876
2025-05-14,-2.102,840446
2025-05-13,0.427,858493
2025-05-12,-2.817,854839
2025-05-09,0.727,879622
2025-05-08,-1.968,873273
2025-05-07,-1.498,890802
2025-05-06,2.804,904347
2025-05-05,2.988,879681
2025-05-02,0.176,854155
2025-05-01,-2.076,852651
2025-04-30,-0.747,870724
2025-04-29,-0.972,877274
2025-04-28,1.426,885888
2025-04-25,-1.083,873435
2025-04-24,1.457,882994
2025-04-23,-2.396,870311
2025-04-22,-1.418,891678
2025-04-21,3.095,904504
2025-04-17,-0.437,877349
2025-04-16,3.256,881204
2025-04-15,0.525,853420
2025-04-14,-0.569,848964
2025-04-11,1.910,853822
2025-04-10,2.444,837818
2025-04-09,3.701,817830
