date,return_pct,balance
2026-05-08,0.264,427081
2026-05-07,-0.305,425957
2026-05-06,0.497,427261
2026-05-05,0.148,425147
2026-05-04,-0.369,424517
2026-05-01,0.076,426092
2026-04-30,0.190,425767
2026-04-29,-0.472,424960
2026-04-28,-0.094,426977
2026-04-27,-0.230,427380
2026-04-24,0.199,428367
2026-04-23,-0.157,427515
2026-04-22,0.105,428187
2026-04-21,-0.438,427739
2026-04-20,-0.094,429622
2026-04-17,0.545,430025
2026-04-16,-0.178,427694
2026-04-15,-0.219,428456
2026-04-14,0.325,429398
2026-04-13,0.220,428008
2026-04-10,-0.168,427067
2026-04-09,-0.031,427784
2026-04-08,0.220,427918
2026-04-07,0.253,426977
2026-04-06,-0.262,425901
2026-04-02,0.231,427022
2026-04-01,-0.087,426036
2026-03-31,0.178,426406
2026-03-30,0.708,425646
2026-03-27,0.011,422653
2026-03-26,-0.807,422608
2026-03-25,0.527,426048
2026-03-24,-0.336,423814
2026-03-23,0.316,425244
2026-03-20,-0.898,423904
2026-03-19,-0.010,427746
2026-03-18,-0.457,427791
2026-03-17,0.177,429757
2026-03-16,0.450,428997
2026-03-13,-0.105,427076
2026-03-12,-0.323,427523
2026-03-11,-0.456,428908
2026-03-10,-0.320,430873
2026-03-09,0.311,432258
2026-03-06,-0.062,430918
2026-03-05,-0.310,431186
2026-03-04,-0.206,432527
2026-03-03,-0.113,433420
2026-03-02,-0.599,433912
2026-02-27,0.400,436528
2026-02-26,0.267,434790
2026-02-25,-0.082,433632
2026-02-24,-0.021,433988
2026-02-23,0.360,434077
2026-02-20,0.000,432518
2026-02-19,0.093,432518
2026-02-18,-0.206,432117
2026-02-17,-0.010,433008
2026-02-13,0.392,433053
2026-02-12,0.613,431360
2026-02-11,-0.280,428732
2026-02-10,0.437,429934
2026-02-09,0.021,428063
2026-02-06,0.000,427974
2026-02-05,0.586,427974
2026-02-04,-0.021,425480
2026-02-03,0.094,425569
2026-02-02,-0.196,425168
2026-01-30,-0.063,426003
2026-01-29,0.104,426269
2026-01-28,-0.083,425825
2026-01-27,-0.114,426180
2026-01-26,0.146,426669
2026-01-23,0.167,426047
2026-01-22,-0.010,425337
2026-01-21,0.262,425381
2026-01-20,-0.396,424271
2026-01-16,-0.384,425958
2026-01-15,-0.207,427601
2026-01-14,0.208,428489
2026-01-13,0.125,427601
2026-01-12,-0.125,427068
2026-01-09,0.114,427601
2026-01-08,-0.301,427113
2026-01-07,0.187,428400
2026-01-06,-0.073,427601
2026-01-05,0.302,427912
2026-01-02,-0.083,426624
2025-12-31,-0.332,426980
2025-12-30,-0.104,428400
2025-12-29,0.145,428844
2025-12-26,0.093,428223
2025-12-24,0.260,427823
2025-12-23,-0.042,426713
2025-12-22,-0.104,426891
2025-12-19,-0.225,427335
2025-12-18,0.259,428296
2025-12-17,-0.021,427190
2025-12-16,0.280,427279
2025-12-15,0.083,426084
2025-12-12,-0.270,425729
2025-12-11,0.010,426880
2025-12-10,0.322,426836
2025-12-09,-0.145,425464
2025-12-08,-0.207,426084
2025-12-05,-0.207,426969
2025-12-04,-0.309,427854
2025-12-03,0.207,429182
2025-12-02,0.083,428296
2025-12-01,-0.535,427942
2025-11-28,-0.174,430244
2025-11-26,0.082,430994
2025-11-25,0.257,430641
2025-11-24,0.154,429538
2025-11-21,0.330,428876
2025-11-20,0.238,427464
2025-11-19,-0.072,426449
2025-11-18,0.166,426758
2025-11-17,0.114,426052
2025-11-14,-0.166,425566
2025-11-13,-0.289,426272
2025-11-12,0.021,427508
2025-11-11,0.311,427420
2025-11-10,-0.134,426096
2025-11-07,0.041,426670
2025-11-06,0.510,426493
2025-11-05,-0.476,424331
2025-11-04,0.124,426361
2025-11-03,-0.048,425831
2025-10-31,0.041,426034
