date,return_pct,balance
2026-05-08,1.354,5859286
2026-05-07,-1.573,5781022
2026-05-06,3.029,5873432
2026-05-05,1.561,5700759
2026-05-04,-1.251,5613121
2026-05-01,-0.115,5684220
2026-04-30,2.547,5690757
2026-04-29,-0.561,5549423
2026-04-28,-0.832,5580710
2026-04-27,-0.133,5627542
2026-04-24,1.132,5635060
2026-04-23,-0.879,5572002
2026-04-22,0.931,5621436
2026-04-21,-1.799,5569610
2026-04-20,-0.299,5671629
2026-04-17,1.698,5688665
2026-04-16,-0.070,5593706
2026-04-15,0.762,5597615
2026-04-14,1.470,5555306
2026-04-13,1.317,5474807
2026-04-10,0.558,5403643
2026-04-09,0.285,5373664
2026-04-08,4.234,5358380
2026-04-07,-0.446,5140717
2026-04-06,0.928,5163728
2026-04-02,-0.491,5116255
2026-04-01,1.849,5141502
2026-03-31,4.406,5048138
2026-03-30,-0.213,4835104
2026-03-27,-2.008,4845432
2026-03-26,-3.038,4944732
2026-03-25,1.193,5099664
2026-03-24,-0.482,5039522
2026-03-23,2.507,5063919
2026-03-20,-3.141,4940052
2026-03-19,-0.338,5100265
2026-03-18,-2.291,5117555
2026-03-17,0.395,5237530
2026-03-16,2.047,5216906
2026-03-13,-1.237,5112272
2026-03-12,-2.306,5176317
2026-03-11,-0.246,5298522
2026-03-10,-0.013,5311614
2026-03-09,1.214,5312292
2026-03-06,-1.743,5248554
2026-03-05,-1.821,5341676
2026-03-04,1.409,5440768
2026-03-03,-2.665,5365185
2026-03-02,-1.187,5512093
2026-02-27,-0.536,5578280
2026-02-26,-0.542,5608334
2026-02-25,1.321,5638910
2026-02-24,0.740,5565385
2026-02-23,-1.151,5524483
2026-02-20,1.132,5588804
2026-02-19,-0.410,5526225
2026-02-18,0.505,5548978
2026-02-17,0.122,5521123
2026-02-13,0.108,5514416
2026-02-12,-1.818,5508465
2026-02-11,0.385,5610444
2026-02-10,-0.091,5588918
2026-02-09,1.241,5594019
2026-02-06,3.109,5525422
