date,return_pct,balance
2026-05-08,2.344,2633077
2026-05-07,-0.119,2572769
2026-05-06,2.077,2575842
2026-05-05,1.297,2523420
2026-05-04,-0.188,2491100
2026-05-01,0.960,2495802
2026-04-30,0.933,2472071
2026-04-29,0.611,2449229
2026-04-28,-1.006,2434346
2026-04-27,0.053,2459076
2026-04-24,1.913,2457781
2026-04-23,-0.563,2411652
2026-04-22,1.673,2425313
2026-04-21,-0.380,2385404
2026-04-20,-0.317,2394511
2026-04-17,1.308,2402137
2026-04-16,0.482,2371113
2026-04-15,1.400,2359748
2026-04-14,1.816,2327169
2026-04-13,1.034,2285668
2026-04-10,0.144,2262270
2026-04-09,0.676,2259012
2026-04-08,2.973,2243834
2026-04-07,0.015,2179046
2026-04-06,0.602,2178713
2026-04-02,0.115,2165681
2026-04-01,1.235,2163201
2026-03-31,3.385,2136805
2026-03-30,-0.764,2066834
2026-03-27,-1.954,2082753
2026-03-26,-2.387,2124254
2026-03-25,0.658,2176195
2026-03-24,-0.684,2161979
2026-03-23,1.146,2176862
2026-03-20,-1.848,2152189
2026-03-19,-0.316,2192714
2026-03-18,-1.394,2199665
2026-03-17,0.488,2230761
2026-03-16,1.122,2219928
2026-03-13,-0.593,2195302
2026-03-12,-1.716,2208391
2026-03-11,-0.013,2246957
2026-03-10,0.002,2247252
2026-03-09,1.336,2247216
2026-03-06,-1.504,2217598
2026-03-05,-0.301,2251468
2026-03-04,1.524,2258271
2026-03-03,-1.071,2224365
2026-03-02,0.132,2248436
2026-02-27,-0.320,2245478
2026-02-26,-1.206,2252688
2026-02-25,1.449,2280198
2026-02-24,1.074,2247622
2026-02-23,-1.215,2223736
2026-02-20,0.885,2251098
2026-02-19,-0.383,2231353
2026-02-18,0.747,2239931
2026-02-17,-0.103,2223329
2026-02-13,0.213,2225622
2026-02-12,-2.034,2220889
2026-02-11,0.268,2266997
2026-02-10,-0.464,2260933
2026-02-09,0.766,2271471
2026-02-06,2.114,2254204
2026-02-05,-1.440,2207541
2026-02-04,-1.747,2239783
2026-02-03,-1.536,2279606
2026-02-02,0.687,2315176
2026-01-30,-1.201,2299388
2026-01-29,-0.599,2327341
2026-01-28,0.331,2341355
2026-01-27,0.907,2333627
2026-01-26,0.440,2312662
2026-01-23,0.316,2302531
2026-01-22,0.727,2295284
2026-01-21,1.352,2278719
2026-01-20,-2.125,2248325
2026-01-16,-0.084,2297132
2026-01-15,0.360,2299055
2026-01-14,-1.068,2290809
2026-01-13,-0.148,2315546
2026-01-12,0.083,2318985
2026-01-09,0.996,2317062
2026-01-08,-0.569,2294211
2026-01-07,0.096,2307337
2026-01-06,0.879,2305119
2026-01-05,0.794,2285041
2026-01-02,-0.194,2267034
2025-12-31,-0.827,2271434
2025-12-30,-0.232,2290366
2025-12-29,-0.484,2295690
2025-12-26,-0.006,2306857
2025-12-24,0.293,2307005
2025-12-23,0.468,2300275
2025-12-22,0.479,2289552
2025-12-19,1.304,2278643
2025-12-18,1.449,2249323
2025-12-17,-1.854,2217195
2025-12-16,0.198,2259072
2025-12-15,-0.502,2254603
2025-12-12,-1.912,2265977
2025-12-11,-0.323,2310143
2025-12-10,0.410,2317639
2025-12-09,0.123,2308186
2025-12-08,-0.192,2305342
2025-12-05,0.408,2309774
2025-12-04,-0.093,2300394
2025-12-03,0.244,2302536
2025-12-02,0.783,2296923
2025-12-01,-0.336,2279087
2025-11-28,0.811,2286768
2025-11-26,0.884,2268377
2025-11-25,0.616,2248510
2025-11-24,2.557,2234736
2025-11-21,0.751,2179012
2025-11-20,-2.367,2162763
2025-11-19,0.597,2215201
2025-11-18,-1.218,2202055
2025-11-17,-0.854,2229197
2025-11-14,0.076,2248399
2025-11-13,-2.042,2246701
2025-11-12,-0.079,2293525
2025-11-11,-0.266,2295335
2025-11-10,2.212,2301465
2025-11-07,-0.316,2251649
2025-11-06,-1.863,2258776
2025-11-05,0.651,2301650
2025-11-04,-2.030,2286768
2025-11-03,0.478,2334146
2025-10-31,0.482,2323031
2025-10-30,-1.529,2311879
2025-10-29,0.450,2347773
2025-10-28,0.769,2337248
2025-10-27,1.781,2319412
2025-10-24,1.068,2278828
2025-10-23,0.841,2254751
2025-10-22,-0.963,2235955
2025-10-21,-0.026,2257705
2025-10-20,1.260,2258296
2025-10-17,0.657,2230194
2025-10-16,-0.370,2215644
2025-10-15,0.706,2223879
2025-10-14,-0.666,2208296
2025-10-13,2.122,2223104
2025-10-10,-3.471,2176907
2025-10-09,-0.121,2255194
2025-10-08,1.146,2257927
2025-10-07,-0.527,2232336
2025-10-06,0.751,2244153
2025-10-03,-0.421,2227424
2025-10-02,0.411,2236841
2025-10-01,0.480,2227683
2025-09-30,0.274,2217048
2025-09-29,0.463,2210991
2025-09-26,0.411,2200799
2025-09-25,-0.431,2191789
2025-09-24,-0.351,2201279
2025-09-23,-0.664,2209034
2025-09-22,0.591,2223805
2025-09-19,0.677,2210733
2025-09-18,0.902,2195868
2025-09-17,-0.200,2176245
2025-09-16,-0.085,2180598
2025-09-15,0.856,2182442
2025-09-12,0.442,2163926
2025-09-11,0.582,2154409
2025-09-10,0.033,2141942
2025-09-09,0.283,2141241
2025-09-08,0.488,2135192
2025-09-05,0.144,2124827
2025-09-04,0.905,2121765
2025-09-03,0.787,2102733
2025-09-02,-0.838,2086318
2025-08-29,-1.158,2103950
2025-08-28,0.626,2128589
2025-08-27,0.154,2115347
2025-08-26,0.402,2112101
2025-08-25,-0.288,2103655
2025-08-22,1.543,2109741
2025-08-21,-0.463,2077687
2025-08-20,-0.594,2087351
2025-08-19,-1.357,2099819
2025-08-18,-0.040,2128700
2025-08-15,-0.440,2129548
2025-08-14,-0.078,2138954
2025-08-13,0.050,2140614
2025-08-12,1.257,2139544
2025-08-11,-0.296,2112987
2025-08-08,0.933,2119257
2025-08-07,0.338,2099671
2025-08-06,1.258,2092589
2025-08-05,-0.679,2066585
2025-08-04,1.845,2080712
2025-08-01,-1.970,2043015
2025-07-31,-0.530,2084068
2025-07-30,0.134,2095171
2025-07-29,-0.155,2092368
2025-07-28,0.313,2095614
2025-07-25,0.241,2089085
2025-07-24,0.213,2084068
2025-07-23,0.456,2079642
2025-07-22,-0.518,2070200
2025-07-21,0.518,2080970
2025-07-18,-0.096,2070236
2025-07-17,0.809,2072228
2025-07-16,0.102,2055593
2025-07-15,0.092,2053490
2025-07-14,0.363,2051609
2025-07-11,-0.225,2044195
2025-07-10,-0.144,2048806
2025-07-09,0.708,2051757
2025-07-08,0.056,2037335
2025-07-07,-0.753,2036191
2025-07-03,0.984,2051646
2025-07-02,0.697,2031654
2025-07-01,-0.843,2017601
2025-06-30,0.648,2034753
2025-06-27,0.342,2021658
2025-06-26,0.935,2014761
2025-06-25,0.256,1996097
2025-06-24,1.529,1991006
2025-06-23,1.027,1961018
2025-06-20,-0.408,1941081
2025-06-18,-0.017,1949040
2025-06-17,-0.975,1949371
2025-06-16,1.391,1968567
2025-06-13,-1.255,1941560
2025-06-12,0.235,1966246
2025-06-11,-0.337,1961641
2025-06-10,0.661,1968273
2025-06-09,0.147,1955340
2025-06-06,0.978,1952466
2025-06-05,-0.753,1933565
2025-06-04,0.279,1948229
2025-06-03,0.782,1942813
2025-06-02,0.790,1927744
2025-05-30,-0.158,1912637
2025-05-29,0.197,1915659
2025-05-28,-0.443,1911901
2025-05-27,2.353,1920412
2025-05-23,-0.926,1876272
2025-05-22,0.187,1893810
2025-05-21,-1.390,1890273
2025-05-20,-0.333,1916911
2025-05-19,0.096,1923322
2025-05-16,0.435,1921480
2025-05-15,0.110,1913153
2025-05-14,0.599,1911053
2025-05-13,1.524,1899668
2025-05-12,4.074,1871150
2025-05-09,-0.066,1797903
2025-05-08,1.032,1799083
2025-05-07,0.393,1780697
2025-05-06,-0.930,1773733
2025-05-05,-0.593,1790387
2025-05-02,1.484,1801072
2025-05-01,1.306,1774728
2025-04-30,-0.013,1751848
2025-04-29,0.660,1752069
2025-04-28,-0.032,1740573
2025-04-25,1.115,1741126
2025-04-24,2.814,1721930
2025-04-23,2.268,1674806
2025-04-22,2.625,1637667
2025-04-21,-2.475,1595774
2025-04-17,-0.018,1636266
2025-04-16,-3.015,1636561
2025-04-15,0.111,1687444
2025-04-14,0.678,1685564
2025-04-11,1.842,1674216
2025-04-10,-4.253,1643930
2025-04-09,12.003,1716956
2025-04-08,-1.801,1532954
2025-04-07,0.241,1561067
2025-04-04,-6.211,1557309
2025-04-03,-5.353,1660436
2025-04-02,0.730,1754353
2025-04-01,0.806,1741642
2025-03-31,-0.004,1727715
2025-03-28,-2.633,1727788
2025-03-27,-0.570,1774507
2025-03-26,-1.840,1784676
2025-03-25,0.571,1818131
2025-03-24,2.191,1807815
2025-03-21,0.330,1769053
2025-03-20,-0.339,1763240
2025-03-19,1.338,1769237
2025-03-18,-1.705,1745875
2025-03-17,0.648,1776154
2025-03-14,2.417,1764712
2025-03-13,-1.799,1723064
2025-03-12,1.128,1754631
2025-03-11,-0.239,1735058
2025-03-10,-3.876,1739215
2025-03-07,0.735,1809339
2025-03-06,-2.751,1796131
2025-03-05,1.304,1846939
2025-03-04,-0.302,1823172
2025-03-03,-2.188,1828691
2025-02-28,1.579,1869602
2025-02-27,-2.777,1840538
2025-02-26,0.242,1893112
2025-02-25,-1.260,1888550
2025-02-24,-1.180,1912648
2025-02-21,-2.075,1935495
2025-02-20,-0.424,1976517
2025-02-19,0.028,1984942
2025-02-18,0.227,1984390
2025-02-14,0.420,1979901
2025-02-13,1.439,1971623
2025-02-12,0.059,1943662
2025-02-11,-0.238,1942522
2025-02-10,1.211,1947158
2025-02-07,-1.261,1923869
2025-02-06,0.522,1948445
2025-02-05,0.454,1938328
2025-02-04,1.228,1929571
2025-02-03,-0.800,1906172
2025-01-31,-0.145,1921551
2025-01-30,0.426,1924347
2025-01-29,-0.188,1916180
2025-01-28,1.478,1919785
2025-01-27,-2.911,1891824
2025-01-24,-0.565,1948556
2025-01-23,0.213,1959630
2025-01-22,1.279,1955472
2025-01-21,0.586,1930786
2025-01-17,1.688,1919528
2025-01-16,-0.701,1887667
2025-01-15,2.301,1900985
2025-01-14,-0.095,1858234
2025-01-13,-0.321,1860000
2025-01-10,-1.568,1865997
2025-01-08,0.017,1895724
2025-01-07,-1.784,1895393
2025-01-06,1.149,1929829
2025-01-03,1.637,1907902
2025-01-02,-0.196,1877181
2024-12-31,-0.849,1880860
2024-12-30,-1.330,1896975
2024-12-27,-1.329,1922544
2024-12-26,-0.068,1948445
2024-12-24,1.356,1949770
2024-12-23,0.973,1923685
2024-12-20,0.873,1905155
2024-12-19,-0.445,1888662
2024-12-18,-3.608,1897110
2024-12-17,-0.440,1968114
2024-12-16,1.440,1976819
2024-12-13,0.765,1948756
2024-12-12,-0.645,1933953
2024-12-11,1.790,1946515
2024-12-10,-0.341,1912281
2024-12-09,-0.779,1918819
2024-12-06,0.895,1933879
2024-12-05,-0.277,1916725
2024-12-04,1.236,1922052
2024-12-03,0.307,1898580
2024-12-02,1.089,1892776
2024-11-29,0.879,1872390
2024-11-27,-0.787,1856080
2024-11-26,0.537,1870810
2024-11-25,0.158,1860819
2024-11-22,0.160,1857880
2024-11-21,0.360,1854905
2024-11-20,-0.058,1848257
2024-11-19,0.688,1849322
2024-11-18,0.695,1836686
2024-11-15,-2.383,1824013
2024-11-14,-0.695,1868533
2024-11-13,-0.129,1881609
2024-11-12,-0.181,1884034
2024-11-11,-0.058,1887450
2024-11-08,0.117,1888552
2024-11-07,1.574,1886348
2024-11-06,2.716,1857109
2024-11-05,1.276,1807998
2024-11-04,-0.291,1785224
2024-11-01,0.740,1790440
2024-10-31,-2.524,1777290
2024-10-30,-0.756,1823315
2024-10-29,0.961,1837200
2024-10-28,0.016,1819716
2024-10-25,0.609,1819422
2024-10-24,0.811,1808402
2024-10-23,-1.532,1793856
2024-10-22,0.109,1821773
2024-10-21,0.192,1819789
2024-10-18,0.655,1816299
2024-10-17,0.069,1804472
2024-10-16,0.012,1803223
2024-10-15,-1.337,1803002
2024-10-14,0.839,1827429
2024-10-11,0.156,1812222
2024-10-10,-0.114,1809394
2024-10-09,0.787,1811451
2024-10-08,1.493,1797309
2024-10-07,-1.071,1770862
2024-10-04,1.190,1790036
2024-10-03,-0.075,1768988
2024-10-02,0.141,1770311
2024-10-01,-1.393,1767813
2024-09-30,0.271,1792791
2024-09-27,-0.556,1787942
2024-09-26,0.751,1797933
2024-09-25,0.093,1784526
2024-09-24,0.482,1782873
2024-09-23,0.265,1774315
2024-09-20,-0.190,1769631
2024-09-19,2.528,1773006
2024-09-18,-0.433,1729282
2024-09-17,0.053,1736802
2024-09-16,-0.442,1735884
2024-09-13,0.448,1743587
2024-09-12,0.982,1735811
2024-09-11,2.172,1718938
2024-09-10,0.924,1682404
2024-09-09,1.286,1666998
2024-09-06,-2.679,1645833
2024-09-05,0.093,1691134
2024-09-04,-0.260,1689557
2024-09-03,-3.036,1693958
2024-08-30,1.192,1746999
2024-08-29,-0.146,1726421
2024-08-28,-1.135,1728952
2024-08-27,0.299,1748796
