date,return_pct,balance
2026-05-08,1.971,337513
2026-05-07,2.098,330988
2026-05-06,6.405,324186
2026-05-05,-0.044,304673
2026-05-04,-3.439,304806
2026-05-01,2.447,315662
2026-04-30,2.809,308122
2026-04-29,-2.052,299703
2026-04-28,-3.115,305983
2026-04-27,-0.667,315822
2026-04-24,0.602,317942
2026-04-23,-2.826,316040
2026-04-22,2.747,325231
2026-04-21,-5.071,316536
2026-04-20,-2.008,333444
2026-04-17,3.357,340277
2026-04-16,-0.833,329226
2026-04-15,-0.276,331992
2026-04-14,5.509,332910
2026-04-13,-1.156,315528
2026-04-10,1.011,319218
2026-04-09,1.366,316024
2026-04-08,2.322,311766
2026-04-07,-0.225,304691
2026-04-06,0.458,305378
2026-04-02,-3.447,303986
2026-04-01,0.002,314837
2026-03-31,7.275,314831
2026-03-30,0.128,293480
2026-03-27,4.396,293104
2026-03-26,-6.807,280763
2026-03-25,3.592,301270
2026-03-24,0.770,290823
2026-03-23,1.546,288600
2026-03-20,-6.332,284205
2026-03-19,-4.394,303417
2026-03-18,-4.129,317362
2026-03-17,-2.129,331029
2026-03-16,0.731,338228
2026-03-13,-4.954,335773
2026-03-12,-1.833,353273
2026-03-11,-2.720,359871
2026-03-10,2.340,369933
2026-03-09,3.057,361473
2026-03-06,2.251,350751
2026-03-05,-1.418,343031
2026-03-04,0.886,347966
2026-03-03,-8.445,344911
2026-03-02,-4.022,376724
2026-02-27,5.645,392511
2026-02-26,0.514,371537
2026-02-25,1.216,369636
2026-02-24,-1.847,365195
2026-02-23,5.157,372069
2026-02-20,7.902,353821
2026-02-19,1.315,327909
2026-02-18,5.607,323654
2026-02-17,-4.803,306471
2026-02-13,2.940,321933
2026-02-12,-11.531,312738
2026-02-11,4.293,353502
2026-02-10,-3.457,338951
2026-02-09,8.337,351087
2026-02-06,5.250,324071
2026-02-05,-15.772,307905
2026-02-04,2.887,365563
2026-02-03,6.242,355306
2026-02-02,-3.975,334432
2026-01-30,-28.538,348275
2026-01-29,-0.026,487359
2026-01-28,3.949,487488
2026-01-27,3.307,468968
2026-01-26,5.846,453956
2026-01-23,6.636,428882
2026-01-22,3.778,402193
2026-01-21,-1.673,387553
2026-01-20,5.396,394146
2026-01-16,-2.758,373968
2026-01-15,-1.464,384576
2026-01-14,7.585,390292
2026-01-13,1.776,362776
2026-01-12,6.703,356446
2026-01-09,3.832,334055
2026-01-08,-1.760,321726
2026-01-07,-3.729,327489
2026-01-06,6.704,340173
2026-01-05,5.067,318800
2026-01-02,2.067,303426
2025-12-31,-6.609,297283
2025-12-30,4.501,318319
2025-12-29,-7.183,304608
2025-12-26,9.048,328182
2025-12-24,0.588,300951
2025-12-23,3.796,299191
2025-12-22,2.529,288250
2025-12-19,2.716,281139
2025-12-18,-1.558,273705
2025-12-17,4.384,278036
2025-12-16,-0.652,266358
2025-12-15,3.585,268106
2025-12-12,-2.636,258827
2025-12-11,2.766,265834
