date,return_pct,balance
2026-05-08,0.826,4381038705
2026-05-07,-0.306,4345148417
2026-05-06,1.390,4358495679
2026-05-05,0.803,4298729610
2026-05-04,-0.366,4264503040
2026-05-01,0.277,4280166779
2026-04-30,0.995,4268331581
2026-04-29,-0.015,4226265702
2026-04-28,-0.486,4226903168
2026-04-27,0.173,4247555744
2026-04-24,0.775,4240234623
2026-04-23,-0.388,4207612741
2026-04-22,1.013,4223988979
2026-04-21,-0.654,4181627254
2026-04-20,-0.200,4209168959
2026-04-17,1.209,4217586654
2026-04-16,0.246,4167207715
2026-04-15,0.789,4156976964
2026-04-14,1.219,4124415638
2026-04-13,0.978,4074750289
2026-04-10,-0.066,4035300320
2026-04-09,0.577,4037957709
2026-04-08,2.547,4014780799
2026-04-07,0.044,3915051730
2026-04-06,0.473,3913314776
2026-04-02,0.090,3894889671
2026-04-01,0.754,3891371158
2026-03-31,2.907,3862256424
2026-03-30,-0.334,3753146505
2026-03-27,-1.705,3765722602
2026-03-26,-1.786,3831034594
2026-03-25,0.558,3900681354
2026-03-24,-0.335,3879049885
2026-03-23,1.050,3892100413
2026-03-20,-1.429,3851643622
2026-03-19,-0.246,3907493458
2026-03-18,-1.395,3917131983
2026-03-17,0.263,3972548826
2026-03-16,1.018,3962110945
2026-03-13,-0.566,3922180943
2026-03-12,-1.518,3944492574
2026-03-11,-0.125,4005297577
2026-03-10,-0.160,4010316309
2026-03-09,0.876,4016756293
2026-03-06,-1.310,3981860551
2026-03-05,-0.557,4034729028
2026-03-04,0.706,4057335830
2026-03-03,-0.881,4028895256
2026-03-02,0.057,4064707809
2026-02-27,-0.480,4062383023
2026-02-26,-0.555,4081969222
2026-02-25,0.844,4104753078
2026-02-24,0.727,4070391021
2026-02-23,-1.021,4041003547
2026-02-20,0.724,4082677824
2026-02-19,-0.263,4053349742
2026-02-18,0.504,4064052910
2026-02-17,0.162,4043666926
2026-02-13,0.071,4037137886
2026-02-12,-1.545,4034280339
2026-02-11,-0.023,4097567765
2026-02-10,-0.263,4098499861
2026-02-09,0.483,4109321049
2026-02-06,1.919,4089586731
2026-02-05,-1.249,4012590953
2026-02-04,-0.484,4063323589
2026-02-03,-0.845,4083086254
2026-02-02,0.498,4117889393
2026-01-30,-0.298,4097504049
2026-01-29,-0.198,4109746108
2026-01-28,-0.010,4117902281
2026-01-27,0.399,4118301339
2026-01-26,0.508,4101942847
2026-01-23,0.037,4081202662
2026-01-22,0.523,4079707020
2026-01-21,1.154,4058493367
