date,return_pct,balance
2026-05-08,0.502,362027
2026-05-07,-0.500,360218
2026-05-06,0.761,362027
2026-05-05,0.553,359293
2026-05-04,-0.759,357316
2026-05-01,0.357,360050
2026-04-30,-0.093,358771
2026-04-29,-0.776,359106
2026-04-28,0.104,361913
2026-04-27,-0.496,361536
2026-04-24,0.185,363338
2026-04-23,-0.219,362668
2026-04-22,0.196,363464
2026-04-21,-0.551,362751
2026-04-20,-0.023,364763
2026-04-17,0.916,364847
2026-04-16,-0.633,361536
2026-04-15,-0.436,363841
2026-04-14,0.530,365433
2026-04-13,0.301,363506
2026-04-10,-0.242,362416
2026-04-09,-0.253,363296
2026-04-08,0.323,364218
2026-04-07,-0.012,363045
2026-04-06,-0.161,363087
2026-04-02,0.614,363673
2026-04-01,-0.098,361452
2026-03-31,-0.104,361808
2026-03-30,1.331,362184
2026-03-27,-0.546,357426
2026-03-26,-0.841,359387
2026-03-25,0.965,362434
2026-03-24,-0.434,358970
2026-03-23,0.647,360535
2026-03-20,-1.897,358219
2026-03-19,0.615,365147
2026-03-18,-0.566,362914
2026-03-17,0.275,364980
2026-03-16,0.774,363978
2026-03-13,-0.494,361182
2026-03-12,-0.195,362977
2026-03-11,-1.291,363686
2026-03-10,-1.065,368444
2026-03-09,0.870,372409
2026-03-06,-0.372,369195
2026-03-05,-0.404,370573
2026-03-04,-0.313,372075
2026-03-03,-0.201,373244
2026-03-02,-1.001,373995
2026-02-27,0.609,377778
2026-02-26,0.400,375490
2026-02-25,0.011,373992
2026-02-24,0.178,373951
2026-02-23,0.369,373285
2026-02-20,-0.234,371913
2026-02-19,0.101,372786
2026-02-18,-0.378,372412
2026-02-17,0.167,373826
2026-02-13,0.549,373202
2026-02-12,1.329,371164
2026-02-11,-0.531,366297
2026-02-10,1.154,368252
2026-02-09,-0.023,364051
2026-02-06,0.069,364134
2026-02-05,1.086,363884
2026-02-04,-0.254,359974
2026-02-03,0.243,360890
2026-02-02,-0.285,360016
2026-01-30,-0.559,361044
2026-01-29,0.023,363075
2026-01-28,-0.228,362992
2026-01-27,-0.623,363820
2026-01-26,0.478,366099
2026-01-23,0.274,364359
2026-01-22,0.435,363365
2026-01-21,0.762,361790
2026-01-20,-1.310,359055
2026-01-16,-0.578,363820
2026-01-15,-0.023,365934
2026-01-14,0.581,366017
2026-01-13,0.171,363903
2026-01-12,-0.296,363282
2026-01-09,0.664,364359
2026-01-08,-0.501,361956
2026-01-07,0.584,363779
2026-01-06,-0.206,361666
2026-01-05,0.494,362412
2026-01-02,-0.149,360630
2025-12-31,-0.797,361168
2025-12-30,-0.238,364069
2025-12-29,0.376,364939
2025-12-26,-0.329,363572
2025-12-24,0.606,364773
2025-12-23,0.160,362577
2025-12-22,-0.217,361997
2025-12-19,-0.371,362784
2025-12-18,0.478,364137
2025-12-17,-0.091,362403
2025-12-16,0.549,362733
2025-12-15,0.069,360752
2025-12-12,-0.964,360504
2025-12-11,-0.136,364013
2025-12-10,0.386,364508
2025-12-09,0.102,363105
2025-12-08,-0.329,362733
2025-12-05,-0.463,363930
2025-12-04,-0.539,365622
2025-12-03,0.281,367604
2025-12-02,0.045,366572
2025-12-01,-1.241,366407
2025-11-28,-0.474,371010
2025-11-26,0.443,372779
2025-11-25,0.256,371134
2025-11-24,0.570,370188
2025-11-21,0.303,368090
2025-11-20,0.394,366980
2025-11-19,-0.202,365540
2025-11-18,-0.034,366281
2025-11-17,0.248,366404
2025-11-14,-0.571,365499
2025-11-13,-0.821,367597
2025-11-12,0.178,370640
2025-11-11,0.458,369982
2025-11-10,-0.022,368296
2025-11-07,-0.212,368378
2025-11-06,0.899,369160
2025-11-05,-1.090,365869
2025-11-04,0.223,369900
2025-11-03,-0.249,369077
2025-10-31,-0.298,369999
2025-10-30,-0.582,371105
2025-10-29,-1.011,373277
2025-10-28,0.261,377088
2025-10-27,0.339,376105
2025-10-24,0.044,374834
2025-10-23,-0.684,374670
2025-10-22,0.065,377252
2025-10-21,0.492,377006
2025-10-20,0.384,375162
2025-10-17,-0.153,373728
2025-10-16,0.750,374302
2025-10-15,-0.220,371515
2025-10-14,0.320,372335
2025-10-13,-0.055,371146
2025-10-10,1.615,371351
2025-10-09,-0.078,365450
2025-10-08,0.078,365737
2025-10-07,0.575,365450
2025-10-06,-0.794,363360
2025-10-03,-0.190,366270
2025-10-02,0.291,366966
2025-10-01,0.258,365901
2025-09-30,-0.290,364960
2025-09-29,0.821,366022
2025-09-26,-0.090,363041
2025-09-25,0.000,363367
2025-09-24,-0.381,363367
2025-09-23,0.699,364756
2025-09-22,-0.359,362224
2025-09-19,-0.191,363531
2025-09-18,-1.032,364225
2025-09-17,-0.255,368023
2025-09-16,0.211,368962
2025-09-15,0.233,368186
2025-09-12,-0.432,367328
2025-09-11,0.669,368921
2025-09-10,0.572,366471
2025-09-09,-0.568,364388
2025-09-08,1.332,366471
2025-09-05,1.525,361652
2025-09-04,0.762,356221
2025-09-03,1.098,353526
2025-09-02,-0.741,349687
2025-08-29,-0.711,352298
2025-08-28,0.658,354820
2025-08-27,-0.115,352502
2025-08-26,-0.058,352908
2025-08-25,-0.287,353112
2025-08-22,0.741,354129
2025-08-21,-0.495,351525
2025-08-20,0.219,353275
2025-08-19,0.580,352502
2025-08-18,-0.289,350468
2025-08-15,-0.712,351485
2025-08-14,-0.741,354007
2025-08-13,0.828,356651
2025-08-12,-0.503,353722
2025-08-11,0.115,355512
2025-08-08,-0.433,355105
2025-08-07,-0.171,356651
