date,return_pct,balance
2026-05-08,0.762,1994555
2026-05-07,-0.754,1979463
2026-05-06,1.826,1994493
2026-05-05,0.751,1958723
2026-05-04,-0.611,1944128
2026-05-01,0.106,1956076
2026-04-30,1.381,1954007
2026-04-29,-0.289,1927382
2026-04-28,-0.523,1932968
2026-04-27,0.091,1943127
2026-04-24,0.747,1941356
2026-04-23,-0.565,1926958
2026-04-22,0.848,1937913
2026-04-21,-1.142,1921626
2026-04-20,-0.144,1943816
2026-04-17,1.245,1946619
2026-04-16,0.025,1922676
2026-04-15,0.692,1922197
2026-04-14,1.057,1908991
2026-04-13,0.854,1889024
2026-04-10,0.010,1873034
2026-04-09,0.372,1872853
2026-04-08,2.843,1865911
2026-04-07,-0.028,1814323
2026-04-06,0.439,1814838
2026-04-02,-0.050,1806900
2026-04-01,0.993,1807812
2026-03-31,2.903,1790030
2026-03-30,-0.275,1739533
2026-03-27,-1.473,1744323
2026-03-26,-1.739,1770393
2026-03-25,0.744,1801733
2026-03-24,-0.383,1788425
2026-03-23,1.426,1795304
2026-03-20,-1.854,1770062
2026-03-19,-0.227,1803492
2026-03-18,-1.475,1807587
2026-03-17,0.244,1834653
2026-03-16,1.259,1830195
2026-03-13,-0.765,1807439
2026-03-12,-1.544,1821379
2026-03-11,-0.183,1849939
2026-03-10,-0.049,1853338
2026-03-09,0.794,1854250
2026-03-06,-1.129,1839649
2026-03-05,-0.917,1860651
2026-03-04,0.859,1877874
2026-03-03,-1.563,1861880
2026-03-02,-0.347,1891436
2026-02-27,-0.439,1898018
2026-02-26,-0.360,1906390
2026-02-25,0.838,1913271
2026-02-24,0.669,1897376
2026-02-23,-0.885,1884762
2026-02-20,0.684,1901589
2026-02-19,-0.274,1888677
2026-02-18,0.500,1893867
2026-02-17,0.031,1884436
2026-02-13,0.200,1883858
2026-02-12,-1.466,1880096
2026-02-11,0.119,1908064
2026-02-10,-0.126,1905794
2026-02-09,0.840,1908200
2026-02-06,2.026,1892303
2026-02-05,-1.334,1854721
2026-02-04,-0.244,1879805
2026-02-03,-0.641,1884399
2026-02-02,0.542,1896553
2026-01-30,-0.614,1886325
2026-01-29,0.004,1897982
2026-01-28,-0.262,1897900
2026-01-27,0.726,1902892
2026-01-26,0.555,1889182
2026-01-23,0.158,1878755
2026-01-22,0.479,1875788
2026-01-21,1.087,1866853
2026-01-20,-1.888,1846775
2026-01-16,-0.022,1882308
2026-01-15,0.168,1882724
2026-01-14,-0.318,1879559
2026-01-13,-0.275,1885546
2026-01-12,0.273,1890737
2026-01-09,0.684,1885582
2026-01-08,0.010,1872765
2026-01-07,-0.403,1872584
2026-01-06,0.515,1880163
2026-01-05,0.803,1870531
2026-01-02,0.397,1855624
2025-12-31,-0.664,1848280
2025-12-30,-0.049,1860635
2025-12-29,-0.379,1861548
2025-12-26,0.047,1868630
2025-12-24,0.271,1867752
2025-12-23,0.493,1862695
2025-12-22,0.598,1853559
2025-12-19,0.821,1842532
2025-12-18,0.756,1827525
2025-12-17,-1.032,1813811
2025-12-16,-0.310,1832734
2025-12-15,0.090,1838425
2025-12-12,-0.938,1836765
2025-12-11,0.384,1854154
2025-12-10,0.672,1847065
2025-12-09,-0.017,1834745
2025-12-08,-0.360,1835058
2025-12-05,0.176,1841689
2025-12-04,0.101,1838449
2025-12-03,0.420,1836591
2025-12-02,0.243,1828909
2025-12-01,-0.448,1824485
2025-11-28,0.502,1832695
2025-11-26,0.823,1823532
2025-11-25,1.136,1808644
2025-11-24,1.104,1788325
2025-11-21,1.059,1768796
2025-11-20,-1.534,1750254
2025-11-19,0.160,1777517
2025-11-18,-0.834,1774671
2025-11-17,-1.044,1789595
2025-11-14,-0.023,1808468
2025-11-13,-1.617,1808880
2025-11-12,0.257,1838613
2025-11-11,0.318,1833892
2025-11-10,1.429,1828085
2025-11-07,0.213,1802334
2025-11-06,-0.947,1798501
2025-11-05,0.452,1815697
2025-11-04,-1.231,1807520
2025-11-03,0.177,1830047
2025-10-31,0.205,1826807
2025-10-30,-0.839,1823072
2025-10-29,-0.231,1838492
2025-10-28,0.203,1842755
2025-10-27,1.068,1839021
2025-10-24,0.616,1819587
2025-10-23,0.642,1808447
2025-10-22,-0.477,1796912
2025-10-21,-0.208,1805520
2025-10-20,0.880,1809289
2025-10-17,0.419,1793508
2025-10-16,-0.348,1786020
2025-10-15,0.408,1792258
2025-10-14,0.065,1784968
2025-10-13,1.374,1783800
2025-10-10,-2.448,1759625
2025-10-09,-0.464,1803781
2025-10-08,0.492,1812192
2025-10-07,-0.540,1803322
2025-10-06,0.327,1813115
2025-10-03,0.202,1807207
2025-10-02,0.153,1803571
2025-10-01,0.440,1800823
2025-09-30,0.347,1792940
2025-09-29,0.348,1786735
2025-09-26,0.534,1780531
2025-09-25,-0.456,1771067
2025-09-24,-0.449,1779182
2025-09-23,-0.408,1787198
2025-09-22,0.369,1794524
2025-09-19,0.298,1787924
2025-09-18,0.523,1782608
2025-09-17,-0.251,1773341
2025-09-16,-0.095,1777802
2025-09-15,0.518,1779498
2025-09-12,-0.124,1770330
2025-09-11,0.904,1772520
2025-09-10,0.168,1756635
2025-09-09,0.168,1753689
2025-09-08,0.469,1750743
2025-09-05,-0.131,1742562
2025-09-04,0.832,1744850
2025-09-03,0.371,1730446
2025-09-02,-0.757,1724042
2025-08-29,-0.589,1737196
2025-08-28,0.402,1747485
2025-08-27,0.153,1740488
2025-08-26,0.255,1737838
2025-08-25,-0.607,1733409
2025-08-22,1.494,1743995
2025-08-21,-0.407,1718329
2025-08-20,-0.070,1725359
2025-08-19,-0.417,1726561
2025-08-18,-0.115,1733788
2025-08-15,0.067,1735780
2025-08-14,-0.098,1734612
2025-08-13,0.370,1736307
2025-08-12,1.166,1729903
2025-08-11,-0.306,1709965
2025-08-08,0.742,1715217
2025-08-07,0.092,1702588
2025-08-06,0.789,1701024
2025-08-05,-0.339,1687703
2025-08-04,1.455,1693449
2025-08-01,-1.252,1669163
2025-07-31,-0.605,1690320
2025-07-30,-0.285,1700611
2025-07-29,-0.215,1705468
2025-07-28,-0.433,1709140
2025-07-25,0.230,1716566
2025-07-24,-0.082,1712630
2025-07-23,1.148,1714030
2025-07-22,0.174,1694583
2025-07-21,0.239,1691635
2025-07-18,-0.083,1687600
2025-07-17,0.558,1688999
2025-07-16,0.312,1679629
2025-07-15,-0.582,1674409
2025-07-14,0.205,1684206
2025-07-11,-0.539,1680764
2025-07-10,0.192,1689870
2025-07-09,0.671,1686626
2025-07-08,0.052,1675378
2025-07-07,-0.820,1674504
2025-07-03,0.588,1688354
2025-07-02,0.425,1678489
2025-07-01,-0.137,1671390
2025-06-30,0.468,1673679
2025-06-27,0.530,1665888
2025-06-26,0.950,1657110
2025-06-25,-0.175,1641513
2025-06-24,1.166,1644394
2025-06-23,0.901,1625437
2025-06-20,-0.404,1610926
2025-06-18,0.023,1617463
2025-06-17,-0.921,1617083
2025-06-16,0.860,1632119
2025-06-13,-1.181,1618195
2025-06-12,0.480,1637531
2025-06-11,-0.229,1629701
2025-06-10,0.373,1633443
2025-06-09,0.047,1627378
2025-06-06,0.857,1626609
2025-06-05,-0.413,1612795
2025-06-04,0.120,1619480
2025-06-03,0.285,1617534
2025-06-02,0.697,1612939
2025-05-30,-0.025,1601773
2025-05-29,0.355,1602181
2025-05-28,-0.648,1596507
2025-05-27,1.782,1606920
2025-05-23,-0.329,1578784
2025-05-22,-0.075,1583998
2025-05-21,-1.314,1585190
2025-05-20,-0.105,1606294
2025-05-19,0.256,1607977
2025-05-16,0.614,1603872
2025-05-15,0.550,1594079
2025-05-14,-0.001,1585363
2025-05-13,0.615,1585379
2025-05-12,2.455,1575682
2025-05-09,0.101,1537930
2025-05-08,0.377,1536376
2025-05-07,0.205,1530602
2025-05-06,-0.588,1527478
2025-05-05,-0.370,1536518
2025-05-02,1.569,1542222
2025-05-01,0.323,1518398
2025-04-30,0.064,1513507
2025-04-29,0.475,1512541
2025-04-28,0.260,1505394
